type,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_wine_datasulfur_dioxide,density,pH,sulphates,alcohol,quality,wine_id,alcohol_content,good_or_bad
white,6.6,0.16,0.40,1.500,0.0440,48,143,0.99120,3.540,0.52,12.40,7,1,medium,good
white,6.6,0.17,0.38,1.500,0.0320,28,112,0.99140,3.250,0.55,11.40,7,2,medium-low,good
white,6.2,0.66,0.48,1.200,0.0290,29,75,0.98920,3.330,0.39,12.80,8,3,medium,good
white,6.4,0.31,0.38,2.900,0.0380,19,102,0.99120,3.170,0.35,11.00,7,4,medium-low,good
white,6.8,0.26,0.42,1.700,0.0490,41,122,0.99300,3.470,0.48,10.50,8,5,medium-low,good
white,7.2,0.32,0.36,2.000,0.0330,37,114,0.99060,3.100,0.71,12.30,7,6,medium,good
white,7.4,0.18,0.31,1.400,0.0580,38,167,0.99310,3.160,0.53,10.00,7,7,medium-low,good
white,6.6,0.25,0.29,1.100,0.0680,39,124,0.99140,3.340,0.58,11.00,7,8,medium-low,good
white,6.2,0.16,0.33,1.100,0.0570,21,82,0.99100,3.320,0.46,10.90,7,9,medium-low,good
white,6.4,0.26,0.24,6.400,0.0400,27,124,0.99030,3.220,0.49,12.60,7,10,medium,good
white,6.0,0.38,0.26,6.000,0.0340,42,134,0.99120,3.380,0.38,12.30,7,11,medium,good
white,7.2,0.32,0.24,5.600,0.0330,23,120,0.99334,2.920,0.66,10.30,7,12,medium-low,good
white,7.3,0.25,0.36,13.100,0.0500,35,200,0.99860,3.040,0.46,8.90,7,13,"low alcohol content",good
white,6.6,0.25,0.30,1.600,0.0460,32,134,0.99300,3.420,0.51,10.10,7,14,medium-low,good
white,6.9,0.28,0.27,2.100,0.0360,42,121,0.99260,3.420,0.49,10.80,7,15,medium-low,good
white,7.0,0.16,0.36,2.600,0.0290,28,98,0.99126,3.110,0.37,11.20,7,16,medium-low,good
white,6.3,0.27,0.38,0.900,0.0510,7,140,0.99260,3.450,0.50,10.50,7,17,medium-low,good
white,6.5,0.46,0.31,5.000,0.0270,15,72,0.99165,3.260,0.60,11.50,7,18,medium,good
white,7.5,0.26,0.30,4.600,0.0270,29,92,0.99085,3.150,0.38,12.00,7,19,medium,good
white,6.7,0.23,0.31,2.100,0.0460,30,96,0.99260,3.330,0.64,10.70,8,20,medium-low,good
white,7.4,0.40,0.29,5.400,0.0440,31,122,0.99400,3.300,0.50,11.10,8,21,medium-low,good
white,6.7,0.23,0.31,2.100,0.0460,30,96,0.99260,3.330,0.64,10.70,8,22,medium-low,good
white,5.9,0.27,0.29,11.400,0.0360,31,115,0.99490,3.350,0.48,10.50,8,23,medium-low,good
white,7.1,0.26,0.31,2.200,0.0440,29,128,0.99370,3.340,0.64,10.90,8,24,medium-low,good
white,8.2,0.22,0.36,6.800,0.0340,12,90,0.99440,3.010,0.38,10.50,8,25,medium-low,good
white,7.6,0.40,0.27,5.200,0.0300,32,101,0.99172,3.220,0.62,12.30,7,26,medium,good
white,7.1,0.18,0.36,1.400,0.0430,31,87,0.98980,3.260,0.37,12.70,7,27,medium,good
white,7.0,0.32,0.34,1.300,0.0420,20,69,0.99120,3.310,0.65,12.00,7,28,medium,good
white,6.9,0.19,0.40,1.400,0.0360,14,55,0.99090,3.080,0.68,11.50,7,29,medium,good
white,6.9,0.24,0.33,1.700,0.0350,47,136,0.99000,3.260,0.40,12.60,7,30,medium,good
white,6.5,0.36,0.28,3.200,0.0370,29,119,0.99080,3.250,0.65,12.40,8,31,medium,good
white,6.5,0.29,0.31,1.700,0.0350,24,79,0.99053,3.270,0.69,11.40,7,32,medium-low,good
white,7.3,0.25,0.36,13.100,0.0500,35,200,0.99860,3.040,0.46,8.90,7,33,"low alcohol content",good
white,7.8,0.32,0.33,2.400,0.0370,18,101,0.99120,3.210,0.65,11.70,7,34,medium,good
white,6.5,0.29,0.31,1.700,0.0350,24,79,0.99053,3.270,0.69,11.40,7,35,medium-low,good
white,6.9,0.21,0.33,1.800,0.0340,48,136,0.98990,3.250,0.41,12.60,7,36,medium,good
white,7.4,0.20,0.28,9.100,0.0470,29,95,0.99532,3.160,0.47,9.80,7,37,"low alcohol content",good
white,7.5,0.17,0.32,1.700,0.0400,51,148,0.99160,3.210,0.44,11.50,7,38,medium,good
white,6.2,0.24,0.29,13.300,0.0390,49,130,0.99520,3.330,0.46,11.00,8,39,medium-low,good
white,8.6,0.27,0.36,1.200,0.0340,15,80,0.99130,2.950,0.36,11.40,7,40,medium-low,good
white,6.9,0.30,0.33,4.100,0.0350,26,155,0.99250,3.250,0.79,12.30,8,41,medium,good
white,6.2,0.17,0.28,4.700,0.0370,39,133,0.99310,3.410,0.46,10.80,7,42,medium-low,good
white,6.8,0.32,0.28,4.800,0.0340,25,100,0.99026,3.080,0.47,12.40,7,43,medium,good
white,7.6,0.14,0.74,1.600,0.0400,27,103,0.99160,3.070,0.40,10.80,7,44,medium-low,good
white,6.7,0.44,0.22,4.300,0.0320,19,99,0.99015,3.260,0.53,12.80,7,45,medium,good
white,8.2,0.18,0.49,1.100,0.0330,28,81,0.99230,3.000,0.68,10.40,7,46,medium-low,good
white,6.5,0.36,0.49,2.900,0.0300,16,94,0.99020,3.100,0.49,12.10,7,47,medium,good
white,8.2,0.18,0.49,1.100,0.0330,28,81,0.99230,3.000,0.68,10.40,7,48,medium-low,good
white,6.5,0.24,0.32,7.600,0.0380,48,203,0.99580,3.450,0.54,9.70,7,49,"low alcohol content",good
white,6.1,0.30,0.56,2.800,0.0440,47,179,0.99240,3.300,0.57,10.90,7,50,medium-low,good
white,6.5,0.24,0.32,7.600,0.0380,48,203,0.99580,3.450,0.54,9.70,7,51,"low alcohol content",good
white,6.8,0.19,0.36,1.900,0.0350,30,96,0.99170,3.150,0.54,10.80,7,52,medium-low,good
white,6.3,0.34,0.33,4.600,0.0340,19,80,0.99170,3.380,0.58,12.00,7,53,medium,good
white,7.9,0.22,0.38,8.000,0.0430,46,152,0.99340,3.120,0.32,11.50,7,54,medium,good
white,6.1,0.32,0.24,1.500,0.0360,38,124,0.98980,3.290,0.42,12.40,7,55,medium,good
white,5.2,0.44,0.04,1.400,0.0360,43,119,0.98940,3.360,0.33,12.10,8,56,medium,good
white,5.2,0.44,0.04,1.400,0.0360,43,119,0.98940,3.360,0.33,12.10,8,57,medium,good
